Kanji;Kana;Romaji;Translation
吠える;ほえる;hoeru;to bark, to howl
微笑む;ほほえむ;hohoemu;to smile
誇り;ほこり;hokori;pride, boast
埃;;hokori;dust
歩行者;;hokousha;pedestrian, walker​
骨;ほね;hone;bone
本気;;honki;seriousness, earnestness, truth
本物;ほんもの;honmono;genuine article
本人;ほんにん;honnin;the person himself
炎;ほのお;honoo;flame, blaze
本屋;;hon’ya;bookstore, bookshop​
頬;ほお;hoo;cheek (of face)
掘る;;horu;to dig, to excavate
保証;ほしょう;hoshou;guarantee, security
干す;;hosu;to dry, to drink up
保存;ほぞん;hozon;preservation, conservation
方;ほう;hou;direction, way, side
法;ほう;hou;law, act, principle
放題;;houdai;to one’s heart’s content
豊富;ほうふ;houfu;abundance, wealth
方法;ほうほう;houhou;method, way, manner
報告;ほうこく;houkoku;report, information
方向;ほうこう;houkou;direction, way
訪問;ほうもん;houmon;call, visit
宝石;ほうせき;houseki;gem, jewel
放送;ほうそう;housou;broadcast, broadcasting
表;ひょう;hyou;table, chart, list
評判;ひょうばん;hyouban;fame, reputation
表現;ひょうげん;hyougen;expression, representation
表情;ひょうじょう;hyoujou;facial expression
評価;ひょうか;hyouka;valuation, estimation
表面;ひょうめん;hyoumen;surface, face
胃;い;i;stomach
一致;いっち;icchi;match, agreement
位置;いち;ichi;place, position
市場;いちば;ichiba;market, the market place
一部;;ichibu;one part, one portion
一度に;いちどに;ichido ni;all at once
一時;いちじ;ichiji;time, moment
一応;;ichiou;just in case​, pretty much
一流;;ichiryuu;first-class, top grade
偉大;いだい;idai;greatness
抱く;いだく;idaku;to embrace
移動;いどう;idou;movement, transfer
衣服;いふく;ifuku;clothes
意外;いがい;igai;unexpected, surprising
違反;いはん;ihan;violence, offense
委員;いいん;iin;committee member
維持;いじ;iji;maintenance, preservation
異常;いじょう;ijou;strangeness, abnormality
一家;いっか;ikka;a house, a home
息;いき;iki;breath
生き物;いきもの;ikimono;living thing, animal
勢い;いきおい;ikioi;force, vigor, energy
以降;;ikou;hereafter, since
居間;いま;ima;living room
今に;いまに;ima ni;before long, even now
今にも;いまにも;ima ni mo;at any time, soon
稲;いね;ine;rice-plant
居眠り;いねむり;inemuri;nodding off, dozing
命;いのち;inochi;life, life force
飲料;;inryou;beverage, drink​
印刷;いんさつ;insatsu;printing
飲食;;inshoku;food and drink, eating and drinking​
印象;いんしょう;inshou;impression
引退;いんたい;intai;retire
引用;いんよう;in’you;quotation, citation
一般;いっぱん;ippan;general, universal
一方;いっぽう;ippou;one way, the other way
以来;いらい;irai;since, henceforth
依頼;いらい;irai;request, commission
苛々;;iraira;getting nervous, irritation
衣類;;irui;clothes, garments​
医療;いりょう;iryou;medical care
医師;いし;ishi;doctor, physician
意思;いし;ishi;intention, purpose
意志;いし;ishi;will, volition
意識;いしき;ishiki;consciousness
一生;いっしょう;isshou;whole life, a lifetime
一種;いっしゅ;isshu;species, kind
一瞬;いっしゅん;isshun;instant, moment
一層;いっそう;issou;much more, still more
板;いた;ita;board, plank
痛み;いたみ;itami;pain, ache, soreness
痛む;;itamu;to hurt
至る;いたる;itaru;to arrive at, to reach
悪戯;;itazura;mischief, prank
従兄弟;;itoko;cousin
一体;いったい;ittai;what on earth…
岩;いわ;iwa;rock
言わば;;iwaba;so to speak
祝う;いわう;iwau;to congratulate, to celebrate
嫌がる;;iyagaru;to hate, to dislike​
以前;いぜん;izen;ago, since, before
泉;いずみ;izumi;spring, fountain
自動;じどう;jidou;automatic
自動販売機;;jidouhanbaiki;vending machine​
自動車;;jidousha;automobile
事実;じじつ;jijitsu;fact, truth, reality
事情;じじょう;jijou;circumstances
直に;;jika ni;directly, in person
事件;じけん;jiken;event, affair, accident
時期;じき;jiki;time, season, period
実家;;jikka;(one’s parents’) home​
実験;じっけん;jikken;experiment
実行;じっこう;jikkou;execution, practice
時刻;じこく;jikoku;instant, time, moment
自慢;じまん;jiman;pride, boast
地面;;jimen;ground\; earth’s surface​
事務;じむ;jimu;business, office work
事務室;;jimushitsu;office (room)​
人物;じんぶつ;jinbutsu;person, character, figure
人工;じんこう;jinkou;artificial, man-made
人類;じんるい;jinrui;mankind, humanity
生;なま;jinsei;life
人種;じんしゅ;jinshu;race (of people), type of person
時差;;jisa;time difference​
自殺;じさつ;jisatsu;suicide
自身;じしん;jishin;by oneself, personally
自信;;jishin;self-confidence
実際;じっさい;jissai;practical, reality
実施;じっし;jisshi;enforcement, implementation
実習;;jisshuu;practice (in the field)
事態;じたい;jitai;situation
自宅;;jitaku;one’s home, one’s house​
実現;じつげん;jitsugen;implementation
実力;;jitsuryoku;(real) ability, true strength
実は;じつは;jitsu wa;as a matter of fact
実用;;jitsuyou;practical use, utility​
徐々;じょじょ;jojo;gradually, steadily
女子;じょし;joshi;woman, girl
助手;じょしゅ;joshu;helper, assistant
女王;じょおう;joou;queen
丈夫;;joubu;healthy, robust, strong
冗談;じょうだん;joudan;jest, joke
上下;;jouge;up and down​, top and bottom
上品;;jouhin;elegant, polished​
情報;じょうほう;jouhou;information, news
条件;じょうけん;jouken;conditions, terms
上空;;joukuu;sky, upper air
乗客;じょうきゃく;joukyaku;passenger
上京;じょうきょう;joukyou;proceeding to the capital (Tokyo)
状況;じょうきょう;joukyou;state of affairs
常識;じょうしき;joushiki;common sense
状態;じょうたい;joutai;condition, situation
上達;じょうたつ;joutatsu;improvement, advance
上等;じょうとう;joutou;superiority, first-class
女優;じょゆう;joyuu;actress
受験;;juken;taking an examination
順;じゅん;jun;order, turn
順番;じゅんばん;junban;turn, order of things
順調;じゅんちょう;junchou;favorable, doing well
銃;じゅう;juu;gun, rifle
重大;じゅうだい;juudai;serious, important
柔道;;juudou;judo
住民;じゅうみん;juumin;citizens, inhabitants
重視;じゅうし;juushi;importance, stress
渋滞;じゅうたい;juutai;congestion, stagnation
住宅;じゅうたく;juutaku;residence, housing
重要;じゅうよう;juuyou;important, essential
需要;じゅよう;juyou;demand, request
株;かぶ;kabu;stock, share
被る;;kaburu;to put on (one’s head)
勝ち;かち;kachi;win, victory
価値;かち;kachi;value, worth
替える;;kaeru;to replace, to exchange
会;かい;kai;meeting, assembly
回;かい;kai;counter for occurrences
回復;かいふく;kaifuku;recovery
絵画;かいが;kaiga;picture, painting
会合;かいごう;kaigou;meeting, assembly
海外;かいがい;kaigai;foreign, abroad
会員;かいいん;kaiin;member
会計;かいけい;kaikei;account, finance
改札;;kaisatsu;ticket gate, ticket barrier​
解決;かいけつ;kaiketsu;settlement, solution
快晴;;kaisei;clear weather, cloudless weather
会社員;;kaishain;company employee​
解釈;かいしゃく;kaishaku;explanation, interpretation
開始;かいし;kaishi;start, beginning
回収;;kaishuu;collection, retrieval
回数;;kaisuu;number of times, frequency
快適;かいてき;kaiteki;pleasant, comfortable
改善;かいぜん;kaizen;improvement
化学;かがく;kagaku;chemistry
輝く;かがやく;kagayaku;to shine, to glitter
影;かげ;kage;shadow
加減;かげん;kagen;adjustment, degree, extent
鍵;;kagi;key
限る;かぎる;kagiru;to restrict, to limit
籠;;kago;basket, cage
家具;かぐ;kagu;furniture
家事;かじ;kaji;housework
抱える;かかえる;kakaeru;to hold in the arms
価格;かかく;kakaku;price, value, cost
関わる;;kakawaru;to be concerned with, to have to do with
欠ける;かける;kakeru;to be lacking
書き直す;;kakinaosu;to write out, to rewrite
活気;かっき;kakki;energy, liveliness
過去;かこ;kako;the past, bygone days
囲む;かこむ;kakomu;to surround, to encircle
各地;;kakuchi;every place, various places​
拡大;かくだい;kakudai;magnification
覚悟;かくご;kakugo;resolution, readiness
確実;かくじつ;kakujitsu;certainty, reliability
確認;かくにん;kakunin;confirmation, verification
隠れる;かくれる;kakureru;to hide, to be hidden
隠す;かくす;kakusu;to hide, to conceal
我慢;がまん;gaman;patience, endurance
構う;かまう;kamau;to mind, to care about
神;かみ;kami;God, deity
上;じょう;kami;person of high rank, government
雷;かみなり;kaminari;lightning, thunder
髪の毛;かみのけ;kami no ke;hair (head)
科目;かもく;kamoku;school subject
缶;かん;kan;can, tin
管;かん;kan;pipe, tube
勘;かん;kan;perception, intuition
看板;;kanban;signboard, billboard
必ずしも;かならずしも;kanarazushimo;not always
可也;;kanari;considerably, fairly
悲しむ;かなしむ;kanashimu;to be sad, to mourn for
感動;かんどう;kandou;feeling deeply moved emotionally
考え;かんがえ;kangae;thinking, thought, view
歓迎;かんげい;kangei;welcome, reception
感激;;kangeki;deep emotion, impression
患者;かんじゃ;kanja;patient
感じ;かんじ;kanji;feeling, sense
感じる;かんじる;kanjiru;to feel, to sense
勘定;かんじょう;kanjou;calculation, counting
感情;かんじょう;kanjou;emotion, feeling
感覚;かんかく;kankaku;sense, sensation, feeling
間隔;;kankaku;space, interval​
観光;かんこう;kankou;sightseeing
観光客;;kankoukyaku;tourist
観客;かんきゃく;kankyaku;audience, spectator
環境;かんきょう;kankyou;environment
可能;かのう;kanou;potential, possible
管理人;;kanrinin;administrator, manager
観察;かんさつ;kansatsu;observation
感謝;かんしゃ;kansha;thanks, gratitude
感想;;kansou;impressions, thoughts
乾燥;;kansou;drying (e.g. clothes), dryness
香り;かおり;kaori;fragrance
空;から;kara;emptiness, vacuum, blank
彼ら;かれら;karera;they (usually male)
枯れる;;kareru;to wither (of a plant)
刈る;かる;karu;to cut (hair), to mow (grass)
火災;かさい;kasai;conflagration, fire
重ねる;;kasaneru;to pile up, to heap up
稼ぐ;かせぐ;kasegu;to earn income
完成;かんせい;kansei;complete, completion
貸出;;kashidashi;lending, loaning
賢い;かしこい;kashikoi;wise, clever, smart
感心;かんしん;kanshin;admiration
関心;かんしん;kanshin;concern, interest
関連;かんれん;kanren;relation, connection
管理;かんり;kanri;control, management
完了;かんりょう;kanryou;completion, conclusion
関する;かんする;kansuru;to concern, to be related
監督;かんとく;kantoku;supervision
歌手;かしゅ;kashu;singer
型;かた;kata;model, type
肩;かた;kata;shoulder
方々;かたがた;katagata;they (people), you (plural)
片方;;katahou;one of a pair, one side
固まる;;katamaru;to harden, to solidify​
刀;かたな;katana;sword, katana
語り合う;;katariau;to talk together
語る;かたる;kataru;to talk about
仮定;;katei;assumption, hypothesis
動;;katsudou;action, activity
活用;かつよう;katsuyou;practical use
勝手;;katte;one’s own convenience, selfish
飼う;かう;kau;to keep (a pet)
皮;かわ;kawa;skin, pelt
革;かわ;kawa;leather
可愛らしい;かわいらしい;kawairashii;lovely, sweet
可哀そう;;kawaisou;poor, pitiable
川沿い;;kawazoi;along the river, riverside
完全;かんぜん;kanzen;perfection, completeness
飾り;;kazari;decoration
数える;かぞえる;kazoeru;to count
数;かず;kazu;number
経営;けいえい;keiei;management
敬意;けいい;keii;respect, honor
掲示;けいじ;keiji;notice, bulletin
刑事;けいじ;keji;police detective, criminal matter
掲示板;;keijiban;bulletin board, notice board
景気;けいき;keiki;business condition
警告;けいこく;keikoku;warning, advice
傾向;けいこう;keikou;tendency, trend
計算;けいさん;keisan;calculation, reckoning
契約;けいやく;keiyaku;contract, agreement
経由;けいゆ;keiyu;through, via
結果;けっか;kekka;result, consequence
欠陥;けっかん;kekkan;defect, fault
結局;けっきょく;kekkyoku;after all, eventually
煙;けむり;kemuri;smoke, fumes
券;けん;ken;ticket, coupon
県;けん;ken;prefecture (of Japan)
建築;けんちく;kenchiku;construction, architecture
見学;;kengaku;inspection, field trip
見解;けんかい;kenkai;opinion, point of view
健康;けんこう;kenkou;health
研究者;;kenkyuusha;researcher
研究所;;kenkyuusho;research institute, laboratory​
憲法;けんぽう;kenpou;constitution
権利;けんり;kenri;right, privilege
検査;けんさ;kensa;inspection, examination
建設;けんせつ;kensetsu;construction
見当;けんとう;kentou;aim, mark, direction
検討;けんとう;kentou;consideration, examination
欠席;けっせき;kesseki;absence
決心;けっしん;kesshin;determination, resolution
化粧;けしょう;keshou;make-up, cosmetics
決定;けってい;kettei;decision, determination
欠点;けってん;ketten;weak point, weakness
血圧;;ketsuatsu;blood pressure​
血液;;ketsueki;blood
血液型;;ketsuekigata;blood type
結論;けつろん;ketsuron;conclusion
気に入る;きにいる;ki ni iru;to be pleased with
